Imst  Imst  6677  7509  8689  9506  10882
Imsterberg  Imst  596  690  735  742  794
Innervillgraten  Lienz  1042  973  984  974  912
Innsbruck  Innsbruck-Stadt  117287  118112  113457  119617  131059
Inzing  Innsbruck-Land  2433  2717  3184  3516  3990
Ischgl  Landeck  1136  1280  1489  1540  1564
Iselsberg-Stronach  Lienz  458  501  570  609  605
Itter  Kitzbühel  910  980  1060  1172  1173
Jenbach  Schwaz  5712  6188  6606  6841  7175
Jerzens  Imst  820  911  907  993  944
Jochberg  Kitzbühel  1535  1461  1540  1581  1558
Jungholz  Reutte  274  345  316  293  302
Kaisers  Reutte  99  85  83  73  78
Kals_am_Großglockner  Lienz  1350  1272  1338  1227  1120
Kaltenbach  Schwaz  1042  999  1126  1190  1319
Kappl  Landeck  2392  2478  2586  2620  2529
Karres  Imst  473  509  575  611  612
Karrösten  Imst  564  647  685  685  686
Kartitsch  Lienz  1006  922  896  831  759
Kaunerberg  Landeck  325  347  344  393  437
Kaunertal  Landeck  521  588  593  608  616
Kauns  Landeck  372  411  447  475  502
Kematen_in_Tirol  Innsbruck-Land  2100  2258  2582  2558  3014
Kirchberg_in_Tirol  Kitzbühel  3718  4092  4958  5120  5258
Kirchbichl  Kufstein  4784  4960  5060  5348  5871
Kirchdorf_in_Tirol  Kitzbühel  2746  3250  3490  3846  4024
Kitzbühel  Kitzbühel  7840  8119  8571  8076  8239
Kolsass  Innsbruck-Land  1143  1214  1411  1534  1667
Kolsassberg  Innsbruck-Land  510  568  721  747  834
Kössen  Kitzbühel  3150  3443  3936  4176  4456
Kramsach  Kufstein  3700  3918  4401  4587  4971
Kufstein  Kufstein  13118  13484  15359  17469  19512
Kundl  Kufstein  3255  3455  3716  3960  4762
Ladis  Landeck  411  440  533  534  539
Landeck  Landeck  7317  7411  7335  7709  7686
Längenfeld  Imst  3146  3493  4063  4300  4780
Langkampfen  Kufstein  2831  3388  3630  3705  4159
Lans  Innsbruck-Land  646  799  906  924  1111
Lavant  Lienz  224  249  280  292  339
Lechaschau  Reutte  1562  1706  1937  2022  2081
Leisach  Lienz  799  779  881  817  707
Lermoos  Reutte  946  937  1061  1104  1138
Leutasch  Innsbruck-Land  1672  1702  1985  2212  2419
Lienz  Lienz  11661  11864  12076  11761  11935
Mariastein  Kufstein  170  192  271  318  458
Matrei_am_Brenner  Innsbruck-Land  1017  999  998  898  918
Matrei_in_Osttirol  Lienz  4293  4521  4903  4741  4633
Mayrhofen  Schwaz  3270  3679  3751  3743  3907
Mieders  Innsbruck-Land  952  1163  1592  1752  1940
Mieming  Imst  1771  2202  2881  3444  3828
Mils (Mils_bei_Hall)  Innsbruck-Land  3053  3670  3797  4125  4549
Mils_bei_Imst  Imst  389  443  557  544  610
Mötz  Imst  922  1070  1172  1244  1308
Mühlbachl  Innsbruck-Land  1290  1380  1375  1342  1453
Münster  Kufstein  2044  2346  2724  3025  3459
Musau  Reutte  328  329  374  395  384
Mutters  Innsbruck-Land  1592  1793  1933  2003  2230
Namlos  Reutte  96  120  100  90  65
Nassereith  Imst  1960  1953  2080  2059  2156
Natters  Innsbruck-Land  1558  1788  1835  1854  2087
Nauders  Landeck  1322  1487  1536  1537  1543
Navis  Innsbruck-Land  1651  1846  1907  1961  2050
Nesselwängle  Reutte  428  443  468  414  456
Neustift_im_Stubaital  Innsbruck-Land  3307  3791  4329  4557  4817
Niederndorf  Kufstein  1856  2148  2435  2613  2820
Niederndorferberg  Kufstein  567  595  607  663  720
Nikolsdorf  Lienz  905  891  863  908  887
Nußdorf-Debant  Lienz  2216  2794  3095  3282  3403
Oberhofen_im_Inntal  Innsbruck-Land  1129  1467  1621  1693  1902
Oberlienz  Lienz  1302  1326  1438  1396  1458
Obernberg_am_Brenner  Innsbruck-Land  342  362  364  353  378
Oberndorf_in_Tirol  Kitzbühel  1420  1650  1944  2017  2334
Oberperfuss  Innsbruck-Land  1766  2187  2712  2836  3082
Obertilliach  Lienz  824  783  796  707  656
Obsteig  Imst  688  766  965  1187  1404
Oetz  Imst  1999  2060  2203  2308  2335
Patsch  Innsbruck-Land  789  826  875  1014  1089
Pettnau  Innsbruck-Land  761  808  977  902  1064
Pettneu_am_Arlberg  Landeck  1160  1267  1454  1446  1485
Pfaffenhofen  Innsbruck-Land  954  979  1113  1081  1185
Pfafflar  Reutte  170  138  140  120  105
Pflach  Reutte  939  999  1132  1256  1502
Pfons  Innsbruck-Land  963  1183  1242  1246  1224
Pfunds  Landeck  2148  2270  2488  2541  2585
Pians  Landeck  704  812  819  799  783
Pill  Schwaz  743  881  1044  1102  1202
Pinswang  Reutte  364  407  444  417  401
Polling_in_Tirol  Innsbruck-Land  543  650  780  960  1282
Prägraten_am_Großvenediger  Lienz  1266  1215  1274  1225  1144
Prutz  Landeck  1320  1444  1670  1741  1884
Radfeld  Kufstein  1471  1575  2016  2295  2551
Ramsau_im_Zillertal  Schwaz  1007  1166  1420  1568  1670
Ranggen  Innsbruck-Land  569  703  839  976  1090
Rattenberg  Kufstein  590  526  436  409  448
Reith_bei_Kitzbühel  Kitzbühel  1209  1428  1595  1667  1692
Reith_bei_Seefeld  Innsbruck-Land  786  882  1109  1175  1426
Reith_im_Alpbachtal  Kufstein  2174  2510  2635  2668  2769
Rettenschöss  Kufstein  420  420  447  469  559
Reutte  Reutte  5132  5306  5719  6024  6989
Ried_im_Oberinntal  Landeck  935  1062  1212  1263  1250
Ried_im_Zillertal  Schwaz  832  935  1200  1226  1278
Rietz  Imst  1505  1759  2017  2109  2450
Rinn  Innsbruck-Land  937  1142  1430  1654  1951
Rohrberg  Schwaz  414  403  378  534  581
Roppen  Imst  1199  1390  1605  1646  1877
Rum  Innsbruck-Land  7615  8071  8352  8843  9311
Sankt_Anton_am_Arlberg  Landeck  2169  2188  2521  2490  2357
Sankt_Jakob_in_Defereggen  Lienz  1026  1005  1008  922  829
Sankt_Jakob_in_Haus  Kitzbühel  493  578  635  754  799
Sankt_Johann_im_Walde  Lienz  314  305  298  291  297
Sankt_Johann_in_Tirol  Kitzbühel  6477  7180  7959  8696  9663
Sankt_Leonhard_im_Pitztal  Imst  1299  1404  1472  1463  1388
Sankt_Sigmund_im_Sellrain  Innsbruck-Land  162  160  204  171  179
Sankt_Ulrich_am_Pillersee  Kitzbühel  1080  1278  1441  1606  1872
Sankt_Veit_in_Defereggen  Lienz  822  766  791  729  636
Sautens  Imst  1081  1203  1280  1423  1640
Scharnitz  Innsbruck-Land  1045  1100  1291  1315  1355
Schattwald  Reutte  386  403  413  430  456
Scheffau_am_Wilden_Kaiser  Kufstein  1014  1075  1211  1311  1504
Schlaiten  Lienz  453  466  498  471  453
Schlitters  Schwaz  937  1013  1276  1377  1508
Schmirn  Innsbruck-Land  806  877  893  874  885
Schönberg_im_Stubaital  Innsbruck-Land  782  916  1000  1007  1097
Schönwies  Landeck  1434  1572  1654  1713  1658
Schwaz  Schwaz  10929  11839  12211  13023  13810
Schwendau  Schwaz  1175  1304  1429  1596  1758
Schwendt  Kitzbühel  591  673  763  786  877
Schwoich  Kufstein  1768  1991  2208  2294  2562
See  Landeck  828  928  1100  1164  1253
Seefeld_in_Tirol  Innsbruck-Land  2476  2751  3098  3193  3519
Sellrain  Innsbruck-Land  1189  1268  1363  1353  1339
Serfaus  Landeck  927  1041  1090  1074  1151
Sillian  Lienz  2004  1997  2082  2063  2030
Silz  Imst  2080  2245  2373  2478  2570
Sistrans  Innsbruck-Land  1032  1381  1752  2105  2250
Sölden  Imst  2499  2738  3066  3365  2955
Söll  Kufstein  2675  3000  3364  3530  3722
Spiss  Landeck  130  119  143  133  99
Stams  Imst  1037  1183  1261  1335  1556
Stans  Schwaz  1599  1703  1890  1935  2159
Stanz_bei_Landeck  Landeck  485  534  592  592  576
Stanzach  Reutte  379  408  423  422  485
Steeg  Reutte  660  669  709  693  659
Steinach_am_Brenner  Innsbruck-Land  2976  3104  3287  3352  3635
Steinberg_am_Rofan  Schwaz  317  304  306  295  287
Strass_im_Zillertal  Schwaz  724  758  808  842  860
Strassen  Lienz  788  882  894  835  797
Strengen  Landeck  1108  1188  1253  1214  1240
Stumm  Schwaz  1361  1547  1783  1807  1928
Stummerberg  Schwaz  792  809  811  842  851
Tannheim  Reutte  799  914  1061  1043  1132
Tarrenz  Imst  1962  2263  2537  2650  2777
Telfes_im_Stubai  Innsbruck-Land  1069  1192  1369  1476  1592
Telfs  Innsbruck-Land  7743  10179  12834  14670  16091
Terfens  Schwaz  1692  1781  1981  2079  2222
Thaur  Innsbruck-Land  2809  3254  3483  3790  4112
Thiersee  Kufstein  2263  2555  2712  2851  3097
Thurn  Lienz  494  519  634  635  625
Tobadill  Landeck  475  505  522  495  508
Tösens  Landeck  547  655  695  667  762
Trins  Innsbruck-Land  935  1021  1190  1269  1345
Tristach  Lienz  1105  1181  1243  1398  1461
Tulfes  Innsbruck-Land  968  1131  1302  1415  1693
Tux  Schwaz  1735  1950  1927  1924  1924
Uderns  Schwaz  1033  1296  1492  1657  1837
Umhausen  Imst  2298  2506  2829  3083  3379
Unterperfuss  Innsbruck-Land  201  223  212  203  230
Untertilliach  Lienz  346  300  278  249  223
Vals  Innsbruck-Land  493  483  504  559  527
Vils  Reutte  1392  1396  1567  1482  1483
Virgen  Lienz  1897  1957  2128  2193  2215
Volders  Innsbruck-Land  2822  3549  4166  4334  4497
Völs  Innsbruck-Land  5931  7079  6610  6489  6963
Vomp  Schwaz  3424  3772  4374  4657  5283
Vorderhornbach  Reutte  276  274  282  263  257
Waidring  Kitzbühel  1491  1603  1777  1922  2048
Walchsee  Kufstein  1318  1761  2042  1800  2041
Wängle  Reutte  698  768  916  849  943
Wattenberg  Innsbruck-Land  518  562  715  714  776
Wattens  Innsbruck-Land  6300  6804  7291  7698  7984
Weer  Schwaz  1313  1341  1383  1547  1640
Weerberg  Schwaz  1700  1987  2199  2328  2495
Weißenbach_am_Lech  Reutte  1072  1297  1344  1284  1267
Wenns  Imst  1814  1896  2020  1952  2081
Westendorf  Kitzbühel  2810  3157  3454  3580  3664
Wiesing  Schwaz  1300  1569  1768  2043  2144
Wildermieming  Innsbruck-Land  586  684  771  873  982
Wildschönau  Kufstein  3342  3639  4012  4152  4314
Wörgl  Kufstein  8610  10054  10884  12751  14179
Zams  Landeck  3257  3317  3388  3259  3459
Zell_am_Ziller  Schwaz  1865  1802  1884  1739  1657
Zellberg  Schwaz  620  625  675  628  680
Zirl  Innsbruck-Land  4583  5037  6117  7737  8197
Zöblen  Reutte  213  222  243  234  240
